"Model","Scenario","Region","Variable","Unit","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AIM/CGE 2.0","ADVANCE_2020_1.5C-2100","World","Emissions|CH4","Mt CH4/yr",367.7457,380.4086,385.0877,229.1313,182.2792,155.222,133.4843,115.1794,106.6429,107.6389,111.0836,115.9752,116.5906,118.0872,120.9023,122.0036,120.1977,133.5733,133.5872
"AIM/CGE 2.0","SSP1-19","World","Emissions|CH4","Mt CH4/yr",368.1046,"",374.4576,"",129.1583,"",96.8493,"",72.1649,"",61.704,"",57.2134,"",53.0908,"",51.0139,"",46.98
"AIM/CGE 2.0","SSP2-19","World","Emissions|CH4","Mt CH4/yr",371.5651,"",382.4708,"",153.5126,"",120.0432,"",98.4188,"",92.3257,"",91.6684,"",91.157,"",91.1737,"",91.423
"AIM/CGE 2.1","CD-LINKS_NPi2020_400","World","Emissions|CH4","Mt CH4/yr",365.1881,376.5834,384.626,253.3319,207.1768,173.6853,155.2763,133.7187,116.5122,118.4451,122.0508,125.8679,129.7341,131.7857,129.5205,128.9063,130.2725,131.1206,126.1078
"AIM/CGE 2.1","TERL_15D_LowCarbonTransportPolicy","World","Emissions|CH4","Mt CH4/yr",366.2435,381.6135,392.8793,254.0004,200.0049,165.4926,158.092,155.5761,156.237,168.1639,172.0967,173.7974,173.3518,169.8498,167.3125,160.6825,152.622,140.068,137.2885
"AIM/CGE 2.1","TERL_15D_NoTransportPolicy","World","Emissions|CH4","Mt CH4/yr",366.875,380.554,383.3913,250.1888,197.8332,163.641,155.6671,152.2362,151.658,162.057,164.7599,164.7631,161.3174,156.9471,152.6208,145.2142,136.2417,121.0779,116.2661
"C-ROADS-5.005","Ratchet-1.5-limCDR-noOS","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.802,301.474,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-noCDR","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.942,351.864,260.241,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"C-ROADS-5.005","Ratchet-1.5-noCDR-noOS","World","Emissions|CH4","Mt CH4/yr",327.403,345.888,346.802,293.161,260.01,240.722,221.434,206.618,191.803,184.558,177.313,168.124,158.935,148.253,137.57,133.613,129.656,126.23,122.804
"GCAM 4.2","SSP1-19","World","Emissions|CH4","Mt CH4/yr",368.2888156,"",342.1350407,"",277.9403921,"",256.7489828,"",222.8661704,"",194.8873202,"",167.9866514,"",152.4607167,"",138.8806463,"",125.4224859
